,street,count,address,district
0, проспект Мира,200,"город Москва, проспект Мира, дом 5, корпус 1",Мещанский район
1, Профсоюзная улица,171,"город Москва, Профсоюзная улица, дом 2/22",Академический район
2, Ленинградский проспект,169,"город Москва, Ленинградский проспект, дом 2",район Беговой
3, Пресненская набережная,167,"город Москва, Пресненская набережная, дом 12",Пресненский район
4, Варшавское шоссе,154,"город Москва, Варшавское шоссе, дом 2",Донской район
5, Ленинский проспект,135,"город Москва, Ленинский проспект, дом 2А",район Якиманка
6, проспект Вернадского,127,"город Москва, проспект Вернадского, дом 9/10",Гагаринский район
7, Каширское шоссе,107,"город Москва, Каширское шоссе, дом 5, корпус 1",район Нагатино-Садовники
8, Кутузовский проспект,107,"город Москва, Кутузовский проспект, дом 71",район Фили-Давыдково
9, Ходынский бульвар,102,"город Москва, Ходынский бульвар, дом 7",Хорошёвский район
